precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,10,0,Moonday,Springmoon,1,0,-10,39,10,Prevailing Direction,-20,-30,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,10,0,33,0,Indescernable,5,-5,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,2,Thriceday,Springmoon,3,25,10,24,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,3,Fourday,Springmoon,4,25,10,25,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,4,Freeday,Springmoon,5,10,0,29,10,From Arctic,-10,-20,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,5,Godsday,Springmoon,6,25,10,27,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),10,6,Moonday,Springmoon,7,18,10,24,10,Prevailing Direction,0,-10,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,7,Twiceday,Springmoon,8,10,0,28,25,Prevailing Direction,-30,-45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),35,8,Thriceday,Springmoon,9,0,-10,31,35,Prevailing Direction,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,35,9,Fourday,Springmoon,10,0,-10,33,35,Prevailing Direction,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,10,Freeday,Springmoon,11,10,0,33,20,Prevailing Direction,-25,-40,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),30,11,Godsday,Springmoon,12,-5,-20,26,30,From Arctic,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,30,12,Moonday,Springmoon,13,-5,-20,31,30,Prevailing Direction,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,13,Twiceday,Springmoon,14,0,-10,33,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,20,14,Thriceday,Springmoon,15,0,-10,29,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,15,Fourday,Springmoon,16,-5,-20,30,35,Prevailing Direction,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,16,Freeday,Springmoon,17,0,-10,32,25,Prevailing Direction,-45,-60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,17,Godsday,Springmoon,18,10,0,30,15,Prevailing Direction,-20,-35,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,25,18,Moonday,Springmoon,19,0,-10,38,25,Prevailing Direction,-45,-60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,19,Twiceday,Springmoon,20,18,10,34,10,From Tropics,0,-10,Normal,5,-,-,-,500,300,50,25
No Precipitation,20,20,Thriceday,Springmoon,21,10,0,30,20,Prevailing Direction,-25,-40,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,21,Fourday,Springmoon,22,-5,-20,35,35,From Arctic,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),0,22,Freeday,Springmoon,23,-20,-40,21,0,Indescernable,-25,-45,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,23,Godsday,Springmoon,24,0,-10,25,0,Indescernable,-5,-15,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,24,Moonday,Springmoon,25,10,0,21,0,Indescernable,5,-5,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,25,Twiceday,Springmoon,26,10,0,24,0,Indescernable,5,-5,Drought,0,-,-,-,500,300,50,25
