precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,0,-10,38,0,Indescernable,-5,-15,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,10,0,23,0,Indescernable,5,-5,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,2,Thriceday,Springmoon,3,-5,-20,26,10,From Arctic,-25,-45,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,3,Fourday,Springmoon,4,0,-10,38,0,Indescernable,-5,-15,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,4,Freeday,Springmoon,5,-5,-20,27,15,Prevailing Direction,-40,-60,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,5,Godsday,Springmoon,6,-20,-40,22,30,From Arctic,-80,-110,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),20,6,Moonday,Springmoon,7,-15,-30,31,20,Prevailing Direction,-60,-80,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,10,7,Twiceday,Springmoon,8,0,-10,29,10,From Tropics,-20,-30,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,8,Thriceday,Springmoon,9,-5,-20,23,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,9,Fourday,Springmoon,10,-15,-30,31,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,10,Freeday,Springmoon,11,-5,-20,31,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,11,Godsday,Springmoon,12,-20,-40,28,40,From Arctic,-90,-115,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,12,Moonday,Springmoon,13,-15,-30,28,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,13,Twiceday,Springmoon,14,-5,-20,27,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,14,Thriceday,Springmoon,15,-5,-20,40,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),15,15,Fourday,Springmoon,16,10,0,31,15,From Tropics,-20,-35,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,25,16,Freeday,Springmoon,17,-5,-20,33,25,From Arctic,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,17,Godsday,Springmoon,18,0,-10,23,10,Prevailing Direction,-20,-30,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,18,Moonday,Springmoon,19,0,-10,34,10,Prevailing Direction,-20,-30,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,19,Twiceday,Springmoon,20,-5,-20,27,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,20,Thriceday,Springmoon,21,-15,-30,26,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,21,Fourday,Springmoon,22,-5,-20,25,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,22,Freeday,Springmoon,23,-15,-30,35,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,23,Godsday,Springmoon,24,-5,-20,27,30,Prevailing Direction,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,24,Moonday,Springmoon,25,0,-10,32,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),10,25,Twiceday,Springmoon,26,10,0,28,10,Prevailing Direction,-10,-20,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,26,Thriceday,Springmoon,27,0,-10,37,25,Prevailing Direction,-45,-60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,27,Fourday,Springmoon,28,0,-10,23,25,Prevailing Direction,-45,-60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,28,Freeday,Springmoon,29,-5,-20,21,40,Prevailing Direction,-65,-90,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,29,Godsday,Springmoon,30,-5,-20,27,40,Prevailing Direction,-65,-90,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,30,Moonday,Eostara,1,-5,-20,29,40,Prevailing Direction,-65,-90,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,31,Twiceday,Eostara,2,-5,-20,33,40,Prevailing Direction,-65,-90,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,32,Thriceday,Eostara,3,0,-10,28,25,Prevailing Direction,-45,-60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,33,Fourday,Eostara,4,10,0,33,10,Prevailing Direction,-10,-20,Normal,5,-,-,-,500,300,50,25
No Precipitation,20,34,Freeday,Eostara,5,0,-10,23,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,35,Godsday,Eostara,6,18,10,29,5,From Tropics,15,5,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,36,Moonday,Eostara,7,25,10,40,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,37,Twiceday,Eostara,8,18,10,23,10,Prevailing Direction,0,-10,Normal,5,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,38,Thriceday,Eostara,9,25,10,38,0,Indescernable,20,5,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,39,Fourday,Eostara,10,30,15,37,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,40,Freeday,Eostara,11,35,15,38,0,Indescernable,35,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,41,Godsday,Eostara,12,25,10,25,15,Prevailing Direction,0,-20,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,42,Moonday,Eostara,13,18,10,30,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,0,43,Twiceday,Eostara,14,-5,-20,25,0,Indescernable,-10,-25,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,44,Thriceday,Eostara,15,10,0,32,0,Indescernable,5,-5,Normal,0,-,-,-,500,300,50,25
