precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,0,-10,24,0,Indescernable,-5,-15,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,1,Twiceday,Springmoon,2,-5,-20,35,15,Prevailing Direction,-40,-60,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),5,2,Thriceday,Springmoon,3,0,-10,37,5,Prevailing Direction,-5,-15,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,15,3,Fourday,Springmoon,4,-15,-30,35,15,From Arctic,-50,-70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,4,Freeday,Springmoon,5,-20,-40,29,30,From Arctic,-80,-110,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,5,Godsday,Springmoon,6,0,-10,26,15,From Tropics,-35,-45,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,6,Moonday,Springmoon,7,-5,-20,31,30,Prevailing Direction,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,7,Twiceday,Springmoon,8,0,-10,25,15,Prevailing Direction,-35,-45,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,8,Thriceday,Springmoon,9,0,-10,21,15,Prevailing Direction,-35,-45,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,9,Fourday,Springmoon,10,10,0,37,0,Indescernable,5,-5,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,10,Freeday,Springmoon,11,25,10,37,0,Indescernable,20,5,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,11,Godsday,Springmoon,12,25,10,33,0,Indescernable,20,5,Drought,0,-,-,-,500,300,50,25
No Precipitation,15,12,Moonday,Springmoon,13,0,-10,30,15,From Arctic,-35,-45,Drought,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,25,13,Twiceday,Springmoon,14,-5,-20,29,25,Prevailing Direction,-50,-75,Drought,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,35,14,Thriceday,Springmoon,15,-20,-40,33,35,From Arctic,-85,-115,Drought,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,15,Fourday,Springmoon,16,-15,-30,31,35,Prevailing Direction,-80,-100,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),45,16,Freeday,Springmoon,17,-20,-40,27,45,From Arctic,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,35,17,Godsday,Springmoon,18,-5,-20,23,35,From Tropics,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,18,Moonday,Springmoon,19,-5,-20,34,35,Prevailing Direction,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),45,19,Twiceday,Springmoon,20,-15,-30,36,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,20,Thriceday,Springmoon,21,-20,-40,21,45,From Arctic,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,21,Fourday,Springmoon,22,-20,-40,24,45,From Arctic,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,22,Freeday,Springmoon,23,-15,-30,33,35,Prevailing Direction,-80,-100,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,23,Godsday,Springmoon,24,-15,-30,27,35,Prevailing Direction,-80,-100,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
