precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Trace Snow (1/2 inch),0,0,Moonday,Springmoon,1,10,0,27,0,Indescernable,5,-5,Normal,0,-,-,-,400,250,50,25
Trace Snow (1/2 inch),10,1,Twiceday,Springmoon,2,0,-10,21,10,Prevailing Direction,-20,-30,Normal,5,-,-,-,400,250,50,25
No Precipitation,20,2,Thriceday,Springmoon,3,-5,-20,39,20,Prevailing Direction,-45,-70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,3,Fourday,Springmoon,4,-15,-30,24,30,Prevailing Direction,-75,-95,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,4,Freeday,Springmoon,5,-15,-30,25,30,Prevailing Direction,-75,-95,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),20,5,Godsday,Springmoon,6,-5,-20,30,20,Prevailing Direction,-45,-70,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,35,6,Moonday,Springmoon,7,-20,-40,33,35,From Arctic,-85,-115,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,7,Twiceday,Springmoon,8,0,-10,24,20,From Tropics,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,20,8,Thriceday,Springmoon,9,0,-10,33,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,20,9,Fourday,Springmoon,10,0,-10,39,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,10,Freeday,Springmoon,11,-5,-20,22,30,Prevailing Direction,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),40,11,Godsday,Springmoon,12,-15,-30,32,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,40,12,Moonday,Springmoon,13,-15,-30,21,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,13,Twiceday,Springmoon,14,-20,-40,26,45,Prevailing Direction,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,14,Thriceday,Springmoon,15,-5,-20,32,30,Prevailing Direction,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),40,15,Fourday,Springmoon,16,-15,-30,28,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,16,Freeday,Springmoon,17,-20,-40,40,45,Prevailing Direction,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,17,Godsday,Springmoon,18,-5,-20,24,35,From Tropics,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,18,Moonday,Springmoon,19,0,-10,24,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,19,Twiceday,Springmoon,20,-5,-20,21,30,Prevailing Direction,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,20,Thriceday,Springmoon,21,10,0,32,20,From Tropics,-25,-40,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,21,Fourday,Springmoon,22,-5,-20,29,30,From Arctic,-55,-80,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),20,22,Freeday,Springmoon,23,0,-10,25,20,Prevailing Direction,-40,-50,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,35,23,Godsday,Springmoon,24,-15,-30,35,35,From Arctic,-80,-100,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,24,Moonday,Springmoon,25,-15,-30,36,35,Prevailing Direction,-80,-100,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,25,Twiceday,Springmoon,26,-20,-40,30,45,From Arctic,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,26,Thriceday,Springmoon,27,-15,-30,29,35,Prevailing Direction,-80,-100,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),25,27,Fourday,Springmoon,28,-5,-20,33,25,Prevailing Direction,-50,-75,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,15,28,Freeday,Springmoon,29,10,0,28,15,From Tropics,-20,-35,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,29,Godsday,Springmoon,30,-15,-30,33,0,Indescernable,-20,-35,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,30,Moonday,Eostara,1,-5,-20,37,0,Indescernable,-10,-25,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,31,Twiceday,Eostara,2,-15,-30,38,15,Prevailing Direction,-50,-70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),25,32,Thriceday,Eostara,3,-15,-30,36,25,Prevailing Direction,-70,-90,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,40,33,Fourday,Eostara,4,-15,-30,27,40,Prevailing Direction,-80,-100,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,34,Freeday,Eostara,5,0,-10,30,30,From Tropics,-50,-60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
