precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Trace Snow (1/2 inch),0,0,Moonday,Springmoon,1,18,10,40,0,Indescernable,15,5,Normal,0,-,-,-,400,250,50,25
Light Snow (1 inch),10,1,Twiceday,Springmoon,2,10,0,38,10,Prevailing Direction,-10,-20,Normal,5,-,-,-,400,250,50,25
Light Snow (1 inch),0,2,Thriceday,Springmoon,3,18,10,37,0,Indescernable,15,5,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,3,Fourday,Springmoon,4,10,0,31,15,Prevailing Direction,-20,-35,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),25,4,Freeday,Springmoon,5,0,-10,37,25,Prevailing Direction,-45,-60,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,35,5,Godsday,Springmoon,6,-5,-20,31,35,Prevailing Direction,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),45,6,Moonday,Springmoon,7,-20,-40,32,45,From Arctic,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,7,Twiceday,Springmoon,8,-20,-40,26,45,Prevailing Direction,-90,-115,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,8,Thriceday,Springmoon,9,-15,-30,21,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,9,Fourday,Springmoon,10,-15,-30,26,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),35,10,Freeday,Springmoon,11,0,-10,26,35,From Tropics,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),25,11,Godsday,Springmoon,12,10,0,24,25,Prevailing Direction,-30,-45,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,10,12,Moonday,Springmoon,13,25,10,34,10,From Tropics,10,-10,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,13,Twiceday,Springmoon,14,30,15,35,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
Light Snow (1 inch),0,14,Thriceday,Springmoon,15,50,30,37,0,Indescernable,50,25,Heatwave,0,-,-,-,400,250,50,25
No Precipitation,15,15,Fourday,Springmoon,16,50,30,39,15,Prevailing Direction,50,10,Heatwave,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,16,Freeday,Springmoon,17,50,30,22,0,Indescernable,50,25,Heatwave,0,-,-,-,500,300,50,25
No Precipitation,0,17,Godsday,Springmoon,18,35,15,38,0,Indescernable,35,10,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,18,Moonday,Springmoon,19,40,20,39,0,Indescernable,40,15,Normal,0,-,-,-,400,250,50,25
Trace Snow (1/2 inch),0,19,Twiceday,Springmoon,20,40,20,33,0,Indescernable,40,15,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,20,Thriceday,Springmoon,21,40,20,25,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,21,Fourday,Springmoon,22,40,20,39,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,22,Freeday,Springmoon,23,35,15,32,10,Prevailing Direction,20,-5,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,23,Godsday,Springmoon,24,30,15,40,25,Prevailing Direction,0,-20,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),15,24,Moonday,Springmoon,25,40,20,28,15,From Tropics,40,-5,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
Trace Snow (1/2 inch),5,25,Twiceday,Springmoon,26,40,20,31,5,Prevailing Direction,40,15,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,5,26,Thriceday,Springmoon,27,35,15,38,5,Prevailing Direction,35,10,Normal,2.5,-,-,-,500,300,50,25
Trace Snow (1/2 inch),15,27,Fourday,Springmoon,28,30,15,39,15,Prevailing Direction,10,-10,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
Trace Snow (1/2 inch),25,28,Freeday,Springmoon,29,25,10,35,25,Prevailing Direction,-5,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,10,29,Godsday,Springmoon,30,30,15,33,10,Prevailing Direction,15,-5,Normal,5,-,-,-,500,300,50,25
Light Snow (1 inch),20,30,Moonday,Eostara,1,18,10,33,20,From Arctic,-10,-25,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,10,31,Twiceday,Eostara,2,25,10,24,10,Prevailing Direction,10,-10,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,32,Thriceday,Eostara,3,18,10,22,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,33,Fourday,Eostara,4,18,10,37,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,34,Freeday,Eostara,5,18,10,33,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,35,Godsday,Eostara,6,10,0,27,40,Prevailing Direction,-40,-55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),45,36,Moonday,Eostara,7,0,-10,35,45,Prevailing Direction,-55,-70,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,37,Twiceday,Eostara,8,0,-10,24,45,Prevailing Direction,-55,-70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),45,38,Thriceday,Eostara,9,-5,-20,28,45,From Arctic,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,39,Fourday,Eostara,10,0,-10,39,45,Prevailing Direction,-55,-70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,40,Freeday,Eostara,11,0,-10,27,45,Prevailing Direction,-55,-70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),35,41,Godsday,Eostara,12,10,0,25,35,Prevailing Direction,-35,-50,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,42,Moonday,Eostara,13,18,10,27,20,Prevailing Direction,-10,-25,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,43,Twiceday,Eostara,14,30,15,21,5,From Tropics,25,10,Normal,2.5,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,44,Thriceday,Eostara,15,40,20,37,0,Indescernable,40,15,Normal,0,-,-,-,400,250,50,25
No Precipitation,10,45,Fourday,Eostara,16,35,15,28,10,Prevailing Direction,20,-5,Normal,5,-,-,-,500,300,50,25
No Precipitation,20,46,Freeday,Eostara,17,30,15,26,20,Prevailing Direction,5,-15,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Light Snow (1 inch),10,47,Godsday,Eostara,18,35,15,31,10,Prevailing Direction,20,-5,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,48,Moonday,Eostara,19,35,15,26,10,Prevailing Direction,20,-5,Normal,5,-,-,-,500,300,50,25
Light Snow (1 inch),0,49,Twiceday,Eostara,20,40,20,25,0,Indescernable,40,15,Normal,0,-,-,-,400,250,50,25
No Precipitation,10,50,Thriceday,Eostara,21,35,15,39,10,Prevailing Direction,20,-5,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,51,Fourday,Eostara,22,50,30,32,0,Indescernable,50,25,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,52,Freeday,Eostara,23,50,30,30,0,Indescernable,50,25,Normal,0,-,-,-,400,250,50,25
Light Snow (1 inch),0,53,Godsday,Eostara,24,-15,-30,29,0,Indescernable,-20,-35,Coldwave,0,-,-,-,400,250,50,25
No Precipitation,0,54,Moonday,Eostara,25,-15,-30,32,0,Indescernable,-20,-35,Coldwave,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,55,Twiceday,Eostara,26,-15,-30,32,0,Indescernable,-20,-35,Coldwave,0,-,-,-,400,250,50,25
No Precipitation,0,56,Thriceday,Eostara,27,10,0,40,0,Indescernable,5,-5,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,57,Fourday,Eostara,28,25,10,37,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),10,58,Freeday,Eostara,29,18,10,36,10,Prevailing Direction,0,-10,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,59,Godsday,Eostara,30,10,0,39,25,Prevailing Direction,-30,-45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,60,Moonday,Pasturemoon,1,18,10,39,40,Prevailing Direction,-25,-40,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,61,Twiceday,Pasturemoon,2,18,10,29,45,Prevailing Direction,-25,-40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,62,Thriceday,Pasturemoon,3,35,15,39,30,From Tropics,5,-25,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
