precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,30,15,26,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),10,1,Twiceday,Springmoon,2,25,10,30,10,Prevailing Direction,10,-10,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,2,Thriceday,Springmoon,3,30,15,30,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,3,Fourday,Springmoon,4,35,15,36,0,Indescernable,35,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,4,Freeday,Springmoon,5,30,15,22,10,Prevailing Direction,15,-5,Normal,5,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,5,Godsday,Springmoon,6,35,15,36,0,Indescernable,35,10,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,6,Moonday,Springmoon,7,40,20,30,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),10,7,Twiceday,Springmoon,8,30,15,26,10,From Arctic,15,-5,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,8,Thriceday,Springmoon,9,25,10,33,25,Prevailing Direction,-5,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,9,Fourday,Springmoon,10,25,10,25,25,Prevailing Direction,-5,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),35,10,Freeday,Springmoon,11,10,0,25,35,From Arctic,-35,-50,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,11,Godsday,Springmoon,12,25,10,40,20,From Tropics,-5,-25,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,12,Moonday,Springmoon,13,35,15,35,5,From Tropics,35,10,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,13,Twiceday,Springmoon,14,40,20,27,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,14,Thriceday,Springmoon,15,35,15,37,0,Indescernable,35,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,55,15,Fourday,Springmoon,16,18,10,32,55,Prevailing,-25,-40,Gale,27.5,-4/-6/X/X,-4,0.5,500,300,50,25
