precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Trace Rain (<1/8 inch),0,0,Moonday,Springmoon,1,50,30,61,0,Indescernable,50,25,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,1,Twiceday,Springmoon,2,35,15,53,15,From Arctic,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,2,Thriceday,Springmoon,3,35,15,66,15,Prevailing Direction,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,3,Fourday,Springmoon,4,30,15,55,30,Prevailing Direction,0,-25,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,4,Freeday,Springmoon,5,35,15,48,15,Prevailing Direction,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),25,5,Godsday,Springmoon,6,30,15,70,25,Prevailing Direction,0,-20,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,25,6,Moonday,Springmoon,7,30,15,49,25,Prevailing Direction,0,-20,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Snow (2 inch),15,7,Twiceday,Springmoon,8,40,20,45,15,From Tropics,40,-5,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
No Precipitation,0,8,Thriceday,Springmoon,9,50,30,52,0,Indescernable,50,25,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,9,Fourday,Springmoon,10,35,15,70,15,From Arctic,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Snow (2 inch),5,10,Freeday,Springmoon,11,40,20,54,5,Prevailing Direction,40,15,Normal,2.5,-,-,-,150,100,25,15
No Precipitation,20,11,Godsday,Springmoon,12,30,15,60,20,From Arctic,5,-15,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,12,Moonday,Springmoon,13,18,10,58,35,From Arctic,-20,-35,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,13,Twiceday,Springmoon,14,18,10,70,35,Prevailing Direction,-20,-35,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,14,Thriceday,Springmoon,15,10,0,51,45,Prevailing Direction,-40,-55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,15,Fourday,Springmoon,16,25,10,44,30,From Tropics,-10,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),20,16,Freeday,Springmoon,17,35,15,41,20,From Tropics,10,-15,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,35,17,Godsday,Springmoon,18,30,15,43,35,Prevailing Direction,-5,-30,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,18,Moonday,Springmoon,19,25,10,67,45,Prevailing Direction,-15,-40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),35,19,Twiceday,Springmoon,20,30,15,64,35,Prevailing Direction,-5,-30,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),45,20,Thriceday,Springmoon,21,25,10,63,45,Prevailing Direction,-15,-40,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
