precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,35,15,25,0,Indescernable,35,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,1,Twiceday,Springmoon,2,25,10,28,15,From Arctic,0,-20,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Snow (1 inch),25,2,Thriceday,Springmoon,3,18,10,38,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Snow (1 inch),15,3,Fourday,Springmoon,4,25,10,21,15,Prevailing Direction,0,-20,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,30,4,Freeday,Springmoon,5,10,0,39,30,From Arctic,-35,-50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,5,Godsday,Springmoon,6,10,0,23,30,Prevailing Direction,-35,-50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Snow (1 inch),40,6,Moonday,Springmoon,7,-5,-20,35,40,From Arctic,-65,-90,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
Light Snow (1 inch),30,7,Twiceday,Springmoon,8,0,-10,23,30,Prevailing Direction,-50,-60,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,30,8,Thriceday,Springmoon,9,0,-10,30,30,Prevailing Direction,-50,-60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),20,9,Fourday,Springmoon,10,10,0,29,20,Prevailing Direction,-25,-40,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,5,10,Freeday,Springmoon,11,18,10,40,5,Prevailing Direction,15,5,Normal,2.5,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,11,Godsday,Springmoon,12,30,15,31,0,Indescernable,25,10,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,12,Moonday,Springmoon,13,40,20,25,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
Light Snow (1 inch),0,13,Twiceday,Springmoon,14,40,20,34,0,Indescernable,40,15,Normal,0,-,-,-,400,250,50,25
Trace Snow (1/2 inch),10,14,Thriceday,Springmoon,15,35,15,31,10,Prevailing Direction,20,-5,Normal,5,-,-,-,400,250,50,25
No Precipitation,20,15,Fourday,Springmoon,16,25,10,38,20,From Arctic,-5,-25,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,20,16,Freeday,Springmoon,17,25,10,27,20,Prevailing Direction,-5,-25,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,17,Godsday,Springmoon,18,18,10,32,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,18,Moonday,Springmoon,19,10,0,22,45,Prevailing Direction,-40,-55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,19,Twiceday,Springmoon,20,18,10,21,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,20,Thriceday,Springmoon,21,18,10,37,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,21,Fourday,Springmoon,22,18,10,30,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,22,Freeday,Springmoon,23,18,10,37,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,23,Godsday,Springmoon,24,30,15,36,20,From Tropics,5,-15,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Light Snow (1 inch),0,24,Moonday,Springmoon,25,50,30,39,0,Indescernable,50,25,Heatwave,0,-,-,-,400,250,50,25
No Precipitation,0,25,Twiceday,Springmoon,26,50,30,40,0,Indescernable,50,25,Heatwave,0,-,-,-,500,300,50,25
No Precipitation,10,26,Thriceday,Springmoon,27,50,30,22,10,Prevailing Direction,50,15,Heatwave,5,-,-,-,500,300,50,25
No Precipitation,25,27,Fourday,Springmoon,28,50,30,30,25,Prevailing Direction,50,0,Heatwave,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Snow (1 inch),15,28,Freeday,Springmoon,29,40,20,39,15,From Tropics,40,-5,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,0,29,Godsday,Springmoon,30,40,20,21,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,30,Moonday,Eostara,1,35,15,26,15,Prevailing Direction,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,31,Twiceday,Eostara,2,40,20,25,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,32,Thriceday,Eostara,3,35,15,37,15,Prevailing Direction,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),5,33,Fourday,Eostara,4,40,20,25,5,Prevailing Direction,40,15,Normal,2.5,-,-,-,400,250,50,25
Trace Snow (1/2 inch),15,34,Freeday,Eostara,5,35,15,36,15,Prevailing Direction,15,-10,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,0,35,Godsday,Eostara,6,40,20,36,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,36,Moonday,Eostara,7,50,30,34,0,Indescernable,50,25,Normal,0,-,-,-,400,250,50,25
Light Snow (1 inch),10,37,Twiceday,Eostara,8,35,15,40,10,From Arctic,20,-5,Normal,5,-,-,-,400,250,50,25
Light Snow (1 inch),20,38,Thriceday,Eostara,9,25,10,40,20,From Arctic,-5,-25,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Snow (1/2 inch),30,39,Fourday,Eostara,10,18,10,28,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Snow (1 inch),40,40,Freeday,Eostara,11,18,10,38,40,Prevailing Direction,-25,-40,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),45,41,Godsday,Eostara,12,18,10,26,45,Prevailing Direction,-25,-40,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,42,Moonday,Eostara,13,25,10,37,45,Prevailing Direction,-15,-40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,43,Twiceday,Eostara,14,25,10,23,45,Prevailing Direction,-15,-40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),35,44,Thriceday,Eostara,15,35,15,40,35,From Tropics,0,-30,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),45,45,Fourday,Eostara,16,25,10,25,45,From Arctic,-15,-40,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),35,46,Freeday,Eostara,17,30,15,34,35,Prevailing Direction,-5,-30,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,47,Godsday,Eostara,18,35,15,34,20,Prevailing Direction,10,-15,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),10,48,Moonday,Eostara,19,40,20,37,10,Prevailing Direction,40,0,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,49,Twiceday,Eostara,20,50,30,35,0,Indescernable,50,25,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,50,Thriceday,Eostara,21,65,45,33,0,Indescernable,65,45,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,51,Fourday,Eostara,22,70,50,22,0,Indescernable,70,50,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,52,Freeday,Eostara,23,65,45,24,10,Prevailing Direction,65,45,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),20,53,Godsday,Eostara,24,50,30,26,20,From Arctic,50,5,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,54,Moonday,Eostara,25,60,40,30,10,Prevailing Direction,60,40,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,55,Twiceday,Eostara,26,70,50,39,0,Indescernable,70,50,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,56,Thriceday,Eostara,27,65,45,33,10,Prevailing Direction,65,45,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,57,Fourday,Eostara,28,50,30,39,25,From Arctic,50,0,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
