precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,30,15,53,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
Light Snow (1 inch),10,1,Twiceday,Springmoon,2,25,10,47,10,Prevailing Direction,10,-10,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,2,Thriceday,Springmoon,3,18,10,53,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Snow (2 inch),35,3,Fourday,Springmoon,4,0,-10,59,35,From Arctic,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,4,Freeday,Springmoon,5,-15,-30,53,45,From Arctic,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),35,5,Godsday,Springmoon,6,-5,-20,46,35,Prevailing Direction,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,35,6,Moonday,Springmoon,7,-5,-20,54,35,Prevailing Direction,-60,-85,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),45,7,Twiceday,Springmoon,8,-15,-30,63,45,From Arctic,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,8,Thriceday,Springmoon,9,-15,-30,54,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,9,Fourday,Springmoon,10,-15,-30,55,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,10,Freeday,Springmoon,11,-5,-20,58,45,Prevailing Direction,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,11,Godsday,Springmoon,12,-15,-30,52,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Snow (2 inch),35,12,Moonday,Springmoon,13,0,-10,60,35,From Tropics,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,13,Twiceday,Springmoon,14,-5,-20,69,45,Prevailing Direction,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),45,14,Thriceday,Springmoon,15,-15,-30,62,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),45,15,Fourday,Springmoon,16,-15,-30,41,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,16,Freeday,Springmoon,17,-15,-30,46,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),45,17,Godsday,Springmoon,18,-15,-30,66,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Snow (1 inch),45,18,Moonday,Springmoon,19,-15,-30,67,45,Prevailing Direction,-80,-100,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Snow (2 inch),35,19,Twiceday,Springmoon,20,0,-10,51,35,From Tropics,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Light Snow (1 inch),25,20,Thriceday,Springmoon,21,18,10,41,25,From Tropics,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Moderate Snow (2 inch),35,21,Fourday,Springmoon,22,10,0,62,35,Prevailing Direction,-35,-50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,35,22,Freeday,Springmoon,23,10,0,46,35,Prevailing Direction,-35,-50,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,23,Godsday,Springmoon,24,18,10,53,20,Prevailing Direction,-10,-25,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Trace Snow (1/2 inch),30,24,Moonday,Springmoon,25,10,0,47,30,Prevailing Direction,-35,-50,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,15,25,Twiceday,Springmoon,26,18,10,64,15,Prevailing Direction,-5,-20,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,26,Thriceday,Springmoon,27,10,0,53,30,Prevailing Direction,-35,-50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,27,Fourday,Springmoon,28,25,10,61,15,From Tropics,0,-20,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,28,Freeday,Springmoon,29,30,15,64,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,29,Godsday,Springmoon,30,35,15,41,0,Indescernable,35,10,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),10,30,Moonday,Eostara,1,25,10,21,10,From Arctic,10,-10,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,31,Twiceday,Eostara,2,18,10,33,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,32,Thriceday,Eostara,3,10,0,35,40,Prevailing Direction,-40,-55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),30,33,Fourday,Eostara,4,18,10,25,30,Prevailing Direction,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,45,34,Freeday,Eostara,5,10,0,23,45,Prevailing Direction,-40,-55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Snow (1/2 inch),45,35,Godsday,Eostara,6,10,0,31,45,From Arctic,-40,-55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),0,36,Moonday,Eostara,7,70,50,34,0,Indescernable,70,50,Heatwave,0,-,-,-,400,250,50,25
No Precipitation,15,37,Twiceday,Eostara,8,70,50,38,15,From Arctic,70,50,Heatwave,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),5,38,Thriceday,Eostara,9,70,50,39,5,Prevailing Direction,70,50,Heatwave,2.5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),15,39,Fourday,Eostara,10,70,50,38,15,From Arctic,70,50,Heatwave,7.5,0/-1/-2/-3,-,-,400,250,50,25
Light Rain (<1/2 inch),0,40,Freeday,Eostara,11,70,50,32,0,Indescernable,70,50,Heatwave,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,41,Godsday,Eostara,12,60,40,21,10,Prevailing Direction,60,40,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,42,Moonday,Eostara,13,65,45,21,0,Indescernable,65,45,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,43,Twiceday,Eostara,14,65,45,28,0,Indescernable,65,45,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,44,Thriceday,Eostara,15,60,40,23,0,Indescernable,60,40,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,45,Fourday,Eostara,16,65,45,31,0,Indescernable,65,45,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,46,Freeday,Eostara,17,60,40,27,0,Indescernable,60,40,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,47,Godsday,Eostara,18,65,45,25,0,Indescernable,65,45,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,48,Moonday,Eostara,19,50,30,22,10,From Arctic,50,15,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,49,Twiceday,Eostara,20,60,40,40,0,Indescernable,60,40,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,50,Thriceday,Eostara,21,40,20,35,15,From Arctic,40,-5,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,51,Fourday,Eostara,22,35,15,32,30,Prevailing Direction,5,-25,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,52,Freeday,Eostara,23,35,15,32,30,Prevailing Direction,5,-25,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,53,Godsday,Eostara,24,40,20,24,15,Prevailing Direction,40,-5,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Snow (1 inch),25,54,Moonday,Eostara,25,30,15,37,25,From Arctic,0,-20,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Snow (1 inch),35,55,Twiceday,Eostara,26,25,10,37,35,Prevailing Direction,-15,-35,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Snow (1/2 inch),45,56,Thriceday,Eostara,27,10,0,21,45,From Arctic,-40,-55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),0,57,Fourday,Eostara,28,70,50,37,0,Indescernable,70,50,Heatwave,0,-,-,-,400,250,50,25
No Precipitation,0,58,Freeday,Eostara,29,70,50,34,0,Indescernable,70,50,Heatwave,0,-,-,-,500,300,50,25
No Precipitation,15,59,Godsday,Eostara,30,70,50,35,15,From Arctic,70,50,Heatwave,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,60,Moonday,Pasturemoon,1,65,45,38,0,Indescernable,65,45,Morning Mist/Fog: 4 hours,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,61,Twiceday,Pasturemoon,2,60,40,36,10,Prevailing Direction,60,40,Evening Mist/Fog: 6 hours,5,-,-,-,400,250,50,25
No Precipitation,25,62,Thriceday,Pasturemoon,3,40,20,26,25,From Arctic,40,-15,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
