precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,25,10,62,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,25,10,58,0,Indescernable,20,5,Normal,0,-,-,-,500,300,50,25
Light Snow (1 inch),0,2,Thriceday,Springmoon,3,35,15,61,0,Indescernable,35,10,Normal,0,-,-,-,400,250,50,25
Trace Snow (1/2 inch),10,3,Fourday,Springmoon,4,30,15,65,10,Prevailing Direction,15,-5,Normal,5,-,-,-,400,250,50,25
Moderate Snow (2 inch),20,4,Freeday,Springmoon,5,18,10,54,20,From Arctic,-10,-25,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Light Snow (1 inch),10,5,Godsday,Springmoon,6,25,10,46,10,Prevailing Direction,10,-10,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,6,Moonday,Springmoon,7,18,10,55,25,Prevailing Direction,-15,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,7,Twiceday,Springmoon,8,10,0,62,40,Prevailing Direction,-40,-55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,8,Thriceday,Springmoon,9,-5,-20,64,45,From Arctic,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,9,Fourday,Springmoon,10,-5,-20,60,45,From Arctic,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),45,10,Freeday,Springmoon,11,-5,-20,63,45,From Arctic,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Snow (2 inch),45,11,Godsday,Springmoon,12,-5,-20,64,45,From Arctic,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,12,Moonday,Springmoon,13,-5,-20,49,45,From Arctic,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,13,Twiceday,Springmoon,14,18,10,57,30,From Tropics,-20,-35,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Snow (1/2 inch),40,14,Thriceday,Springmoon,15,0,-10,52,40,From Arctic,-55,-70,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
Light Snow (1 inch),45,15,Fourday,Springmoon,16,-5,-20,43,45,Prevailing Direction,-65,-90,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Snow (1 inch),35,16,Freeday,Springmoon,17,0,-10,41,35,Prevailing Direction,-50,-65,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,17,Godsday,Springmoon,18,10,0,51,20,Prevailing Direction,-25,-40,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Moderate Snow (2 inch),10,18,Moonday,Springmoon,19,25,10,61,10,From Tropics,10,-10,Normal,5,-,-,-,150,100,25,15
No Precipitation,0,19,Twiceday,Springmoon,20,30,15,70,0,Indescernable,25,10,Normal,0,-,-,-,500,300,50,25
Trace Snow (1/2 inch),0,20,Thriceday,Springmoon,21,35,15,46,0,Indescernable,35,10,Normal,0,-,-,-,400,250,50,25
Trace Snow (1/2 inch),0,21,Fourday,Springmoon,22,40,20,50,0,Indescernable,40,15,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,22,Freeday,Springmoon,23,30,15,61,15,Prevailing Direction,10,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,23,Godsday,Springmoon,24,30,15,63,15,Prevailing Direction,10,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Snow (1 inch),25,24,Moonday,Springmoon,25,25,10,58,25,Prevailing Direction,-5,-30,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,10,25,Twiceday,Springmoon,26,35,15,46,10,From Tropics,20,-5,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,26,Thriceday,Springmoon,27,30,15,44,25,Prevailing Direction,0,-20,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Snow (1 inch),15,27,Fourday,Springmoon,28,35,15,56,15,Prevailing Direction,15,-10,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,0,28,Freeday,Springmoon,29,40,20,62,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,29,Godsday,Springmoon,30,40,20,44,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,30,Moonday,Eostara,1,30,15,69,15,From Arctic,10,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Snow (1 inch),5,31,Twiceday,Eostara,2,40,20,60,5,From Tropics,40,15,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,0,32,Thriceday,Eostara,3,50,30,42,0,Indescernable,50,25,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,33,Fourday,Eostara,4,35,15,67,15,From Arctic,15,-10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,34,Freeday,Eostara,5,40,20,51,0,Indescernable,40,15,Normal,0,-,-,-,500,300,50,25
Light Snow (1 inch),10,35,Godsday,Eostara,6,35,15,46,10,Prevailing Direction,20,-5,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,36,Moonday,Eostara,7,70,50,70,0,Indescernable,75,50,Heatwave,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),10,37,Twiceday,Eostara,8,70,50,53,10,From Arctic,75,50,Heatwave,5,-,-,-,400,250,50,25
