precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Light Rain (<1/2 inch),0,0,Moonday,Springmoon,1,50,30,70,0,Indescernable,50,25,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,60,40,56,0,Indescernable,65,40,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,2,Thriceday,Springmoon,3,65,45,60,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,3,Fourday,Springmoon,4,60,40,50,0,Indescernable,65,40,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,4,Freeday,Springmoon,5,60,40,48,0,Indescernable,65,40,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,5,Godsday,Springmoon,6,65,45,54,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,6,Moonday,Springmoon,7,65,45,57,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,7,Twiceday,Springmoon,8,50,30,45,10,From Arctic,50,15,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,8,Thriceday,Springmoon,9,35,15,43,25,From Arctic,5,-20,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,9,Fourday,Springmoon,10,30,15,63,40,Prevailing Direction,-5,-30,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,10,Freeday,Springmoon,11,30,15,68,40,Prevailing Direction,-5,-30,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),30,11,Godsday,Springmoon,12,35,15,63,30,Prevailing Direction,5,-25,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,45,12,Moonday,Springmoon,13,30,15,69,45,Prevailing Direction,-5,-30,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Snow (1 inch),35,13,Twiceday,Springmoon,14,35,15,70,35,Prevailing Direction,0,-30,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,14,Thriceday,Springmoon,15,30,15,70,45,Prevailing Direction,-5,-30,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,15,Fourday,Springmoon,16,30,15,42,45,Prevailing Direction,-5,-30,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,16,Freeday,Springmoon,17,35,15,51,30,Prevailing Direction,5,-25,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),20,17,Godsday,Springmoon,18,50,30,61,20,From Tropics,50,5,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,35,18,Moonday,Springmoon,19,40,20,60,35,Prevailing Direction,40,-20,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),0,19,Twiceday,Springmoon,20,65,45,55,0,Indescernable,70,45,Morning Mist/Fog: 2 hours,0,-,-,-,400,250,50,25
No Precipitation,0,20,Thriceday,Springmoon,21,65,45,68,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,21,Fourday,Springmoon,22,60,40,64,10,Prevailing Direction,65,40,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,22,Freeday,Springmoon,23,65,45,49,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,23,Godsday,Springmoon,24,60,40,59,10,Prevailing Direction,65,40,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,24,Moonday,Springmoon,25,65,45,61,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,25,Twiceday,Springmoon,26,65,45,46,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,26,Thriceday,Springmoon,27,50,30,58,15,Prevailing Direction,50,10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,27,Fourday,Springmoon,28,40,20,51,30,Prevailing Direction,40,-20,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,28,Freeday,Springmoon,29,40,20,46,30,Prevailing Direction,40,-20,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,29,Godsday,Springmoon,30,50,30,45,20,Prevailing Direction,50,5,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),10,30,Moonday,Eostara,1,60,40,45,10,Prevailing Direction,65,40,Normal,5,-,-,-,400,250,50,25
Light Snow (1 inch),20,31,Twiceday,Eostara,2,40,20,46,20,From Arctic,40,-10,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Light Rain (<1/2 inch),10,32,Thriceday,Eostara,3,50,30,43,10,Prevailing Direction,50,15,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,33,Fourday,Eostara,4,65,45,52,0,Indescernable,70,45,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,34,Freeday,Eostara,5,65,45,61,0,Indescernable,70,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,35,Godsday,Eostara,6,70,50,56,0,Indescernable,75,50,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,36,Moonday,Eostara,7,70,50,52,0,Indescernable,75,50,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,37,Twiceday,Eostara,8,60,40,59,15,Prevailing Direction,65,40,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Snow (2 inch),25,38,Thriceday,Eostara,9,40,20,46,25,From Arctic,40,-15,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Trace Snow (1/2 inch),35,39,Fourday,Eostara,10,35,15,64,35,Prevailing Direction,0,-30,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,35,40,Freeday,Eostara,11,35,15,69,35,Prevailing Direction,0,-30,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
