precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,15,0,Moonday,Springmoon,1,80,65,21,15,From Arctic,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,1,Twiceday,Springmoon,2,80,60,36,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,2,Thriceday,Springmoon,3,75,55,40,40,Prevailing Direction,75,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,3,Fourday,Springmoon,4,80,60,26,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,4,Freeday,Springmoon,5,75,55,33,45,Prevailing Direction,75,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),35,5,Godsday,Springmoon,6,80,65,33,35,From Tropics,80,65,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,6,Moonday,Springmoon,7,85,65,31,20,Prevailing Direction,90,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),30,7,Twiceday,Springmoon,8,80,60,21,30,From Arctic,80,60,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,40,8,Thriceday,Springmoon,9,70,55,22,40,From Arctic,70,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),0,9,Fourday,Springmoon,10,70,50,37,0,Indescernable,70,50,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,10,Freeday,Springmoon,11,70,55,21,0,Indescernable,70,55,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,11,Godsday,Springmoon,12,75,55,32,0,Indescernable,80,55,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,12,Moonday,Springmoon,13,80,60,21,0,Indescernable,85,60,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,13,Twiceday,Springmoon,14,70,55,29,10,From Arctic,70,55,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),20,14,Thriceday,Springmoon,15,70,50,30,20,Prevailing Direction,70,50,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,20,15,Fourday,Springmoon,16,70,55,22,20,Prevailing Direction,70,55,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,10,16,Freeday,Springmoon,17,75,55,36,10,Prevailing Direction,80,55,Normal,5,-,-,-,500,300,50,25
No Precipitation,20,17,Godsday,Springmoon,18,70,55,26,20,Prevailing Direction,70,55,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,18,Moonday,Springmoon,19,70,50,28,30,Prevailing Direction,70,50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,19,Twiceday,Springmoon,20,70,50,31,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,20,Thriceday,Springmoon,21,70,50,31,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,21,Fourday,Springmoon,22,70,55,35,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),35,22,Freeday,Springmoon,23,80,60,28,35,From Tropics,80,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,23,Godsday,Springmoon,24,75,55,39,45,Prevailing Direction,75,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,24,Moonday,Springmoon,25,80,65,28,35,From Tropics,80,65,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,25,Twiceday,Springmoon,26,75,55,33,45,From Arctic,75,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,26,Thriceday,Springmoon,27,75,55,40,45,Prevailing Direction,75,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,27,Fourday,Springmoon,28,80,60,28,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,28,Freeday,Springmoon,29,70,55,33,40,From Arctic,70,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,29,Godsday,Springmoon,30,70,50,34,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,30,Moonday,Eostara,1,70,55,30,45,From Arctic,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,0,31,Twiceday,Eostara,2,70,55,35,0,Indescernable,70,55,Particle Storm,0,-,-,-,500,300,50,25
No Precipitation,0,32,Thriceday,Eostara,3,75,55,23,0,Indescernable,80,55,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,33,Fourday,Eostara,4,80,65,30,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,34,Freeday,Eostara,5,85,70,35,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,35,Godsday,Eostara,6,85,65,32,15,Prevailing Direction,90,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,36,Moonday,Eostara,7,85,70,29,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,37,Twiceday,Eostara,8,90,70,24,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,38,Thriceday,Eostara,9,90,75,30,0,Indescernable,95,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,39,Fourday,Eostara,10,85,70,38,10,From Arctic,90,70,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,40,Freeday,Eostara,11,90,70,35,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,41,Godsday,Eostara,12,95,75,27,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,42,Moonday,Eostara,13,100,80,26,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,43,Twiceday,Eostara,14,100,80,24,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,44,Thriceday,Eostara,15,100,80,21,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,45,Fourday,Eostara,16,100,80,27,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,46,Freeday,Eostara,17,90,75,23,15,Prevailing Direction,95,80,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,47,Godsday,Eostara,18,100,80,28,5,From Tropics,110,85,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,48,Moonday,Eostara,19,100,80,33,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,49,Twiceday,Eostara,20,100,80,27,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,50,Thriceday,Eostara,21,95,75,24,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,51,Fourday,Eostara,22,100,80,24,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,52,Freeday,Eostara,23,95,75,28,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,53,Godsday,Eostara,24,95,75,34,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,54,Moonday,Eostara,25,90,75,37,10,Prevailing Direction,95,80,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,55,Twiceday,Eostara,26,100,80,30,0,Indescernable,110,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,56,Thriceday,Eostara,27,100,80,37,0,Indescernable,110,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,10,57,Fourday,Eostara,28,95,75,34,10,Prevailing Direction,105,80,Drought,5,-,-,-,500,300,50,25
No Precipitation,0,58,Freeday,Eostara,29,100,80,31,0,Indescernable,110,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,59,Godsday,Eostara,30,95,75,40,0,Indescernable,105,80,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,60,Moonday,Pasturemoon,1,100,80,24,0,Indescernable,110,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,10,61,Twiceday,Pasturemoon,2,95,75,25,10,Prevailing Direction,105,80,Drought,5,-,-,-,500,300,50,25
No Precipitation,0,62,Thriceday,Pasturemoon,3,100,80,21,0,Indescernable,110,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,63,Fourday,Pasturemoon,4,105,80,27,0,Indescernable,115,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,0,64,Freeday,Pasturemoon,5,105,80,25,0,Indescernable,115,85,Drought,0,-,-,-,500,300,50,25
No Precipitation,15,65,Godsday,Pasturemoon,6,90,75,32,15,From Arctic,95,80,Drought,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),5,66,Moonday,Pasturemoon,7,100,80,23,5,From Tropics,110,85,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,0,67,Twiceday,Pasturemoon,8,105,80,38,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,68,Thriceday,Pasturemoon,9,105,80,32,0,Indescernable,115,85,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,69,Fourday,Pasturemoon,10,105,80,36,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,70,Freeday,Pasturemoon,11,100,80,35,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,71,Godsday,Pasturemoon,12,95,75,35,10,Prevailing Direction,105,80,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,72,Moonday,Pasturemoon,13,100,80,38,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,73,Twiceday,Pasturemoon,14,105,80,22,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,74,Thriceday,Pasturemoon,15,105,80,27,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,75,Fourday,Pasturemoon,16,105,80,31,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,76,Freeday,Pasturemoon,17,100,80,40,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,77,Godsday,Pasturemoon,18,100,80,33,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,78,Moonday,Pasturemoon,19,105,80,40,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,79,Twiceday,Pasturemoon,20,100,80,30,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,80,Thriceday,Pasturemoon,21,105,80,21,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,81,Fourday,Pasturemoon,22,90,75,23,15,From Arctic,95,80,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,82,Freeday,Pasturemoon,23,90,70,34,30,Prevailing Direction,95,70,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),20,83,Godsday,Pasturemoon,24,90,75,24,20,Prevailing Direction,95,75,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,35,84,Moonday,Pasturemoon,25,90,70,31,35,Prevailing Direction,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),25,85,Twiceday,Pasturemoon,26,90,75,21,25,Prevailing Direction,95,75,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,40,86,Thriceday,Pasturemoon,27,90,70,33,40,Prevailing Direction,90,70,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,87,Fourday,Pasturemoon,28,90,70,39,40,Prevailing Direction,90,70,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,88,Freeday,Pasturemoon,29,90,70,37,40,Prevailing Direction,90,70,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,89,Godsday,Pasturemoon,30,85,70,37,45,Prevailing Direction,85,70,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,35,90,Moonday,Fallowmoon,1,90,70,34,35,Prevailing Direction,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,91,Twiceday,Fallowmoon,2,85,70,23,45,Prevailing Direction,85,70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,92,Thriceday,Fallowmoon,3,85,70,35,45,Prevailing Direction,85,70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,93,Fourday,Fallowmoon,4,90,75,34,30,Prevailing Direction,95,75,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,94,Freeday,Fallowmoon,5,85,70,36,40,From Arctic,85,70,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,95,Godsday,Fallowmoon,6,85,70,27,45,Prevailing Direction,85,70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,96,Moonday,Fallowmoon,7,90,70,37,35,Prevailing Direction,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),25,97,Twiceday,Fallowmoon,8,90,75,31,25,Prevailing Direction,95,75,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,0,98,Thriceday,Fallowmoon,9,85,70,35,0,Indescernable,90,70,Particle Storm,0,-,-,-,500,300,50,25
No Precipitation,10,99,Fourday,Fallowmoon,10,85,70,27,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
