precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Heavy Rain (<1.5 inch),10,0,Moonday,Springmoon,1,80,65,72,10,From Arctic,90,75,Normal,5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),20,1,Twiceday,Springmoon,2,75,55,89,20,From Arctic,80,60,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,35,2,Thriceday,Springmoon,3,70,55,87,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),25,3,Fourday,Springmoon,4,80,60,90,25,From Tropics,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,25,4,Freeday,Springmoon,5,80,60,74,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,5,Godsday,Springmoon,6,80,65,72,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,6,Moonday,Springmoon,7,80,65,75,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
Downpour Rain (>1.5 inch),20,7,Twiceday,Springmoon,8,75,55,88,20,From Arctic,80,60,Normal,10,0/-1/-2/-3,-,-,,,,
Moderate Rain (<3/4 inch),10,8,Thriceday,Springmoon,9,80,65,72,10,From Tropics,90,75,Normal,5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),20,9,Fourday,Springmoon,10,80,60,90,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Heavy Rain (<1.5 inch),10,10,Freeday,Springmoon,11,80,65,86,10,Prevailing Direction,90,75,Normal,5,-,-,-,50,30,15,10
No Precipitation,10,11,Godsday,Springmoon,12,80,65,88,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,12,Moonday,Springmoon,13,85,65,78,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,13,Twiceday,Springmoon,14,80,60,78,15,From Arctic,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Downpour Rain (>1.5 inch),5,14,Thriceday,Springmoon,15,80,65,71,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,,,,
No Precipitation,5,15,Fourday,Springmoon,16,80,65,89,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),15,16,Freeday,Springmoon,17,75,55,79,15,From Arctic,85,65,Normal,7.5,0/-1/-2/-3,-,-,50,30,15,10
Downpour Rain (>1.5 inch),5,17,Godsday,Springmoon,18,80,65,76,5,From Tropics,90,75,Normal,2.5,-,-,-,,,,
No Precipitation,5,18,Moonday,Springmoon,19,80,65,90,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,20,19,Twiceday,Springmoon,20,80,60,87,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,20,20,Thriceday,Springmoon,21,80,60,83,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,21,Fourday,Springmoon,22,80,65,75,10,Prevailing Direction,90,75,Normal,5,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),20,22,Freeday,Springmoon,23,80,60,71,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,20,23,Godsday,Springmoon,24,80,60,87,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),30,24,Moonday,Springmoon,25,75,55,79,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,15,25,Twiceday,Springmoon,26,80,60,88,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,26,Thriceday,Springmoon,27,80,65,73,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,27,Fourday,Springmoon,28,85,65,72,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,28,Freeday,Springmoon,29,80,65,82,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),5,29,Godsday,Springmoon,30,85,65,75,5,Prevailing Direction,100,75,Normal,2.5,-,-,-,50,30,15,10
No Precipitation,0,30,Moonday,Eostara,1,85,70,80,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Downpour Rain (>1.5 inch),0,31,Twiceday,Eostara,2,80,60,83,0,Indescernable,90,70,Normal,0,-,-,-,,,,
Moderate Rain (<3/4 inch),10,32,Thriceday,Eostara,3,75,55,81,10,Prevailing Direction,85,65,Normal,5,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),0,33,Fourday,Eostara,4,80,65,77,0,Indescernable,90,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,34,Freeday,Eostara,5,85,70,85,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Downpour Rain (>1.5 inch),0,35,Godsday,Eostara,6,95,75,79,0,Indescernable,115,85,Morning Mist/Fog: 4 hours,0,-,-,-,,,,
Downpour Rain (>1.5 inch),0,36,Moonday,Eostara,7,105,80,74,0,Indescernable,125,90,Heatwave,0,-,-,-,,,,
No Precipitation,0,37,Twiceday,Eostara,8,105,80,88,0,Indescernable,125,90,Heatwave,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,38,Thriceday,Eostara,9,105,80,84,0,Indescernable,125,90,Heatwave,0,-,-,-,50,30,15,10
Downpour Rain (>1.5 inch),0,39,Fourday,Eostara,10,105,80,86,0,Indescernable,125,90,Heatwave,0,-,-,-,,,,
No Precipitation,15,40,Freeday,Eostara,11,90,70,82,15,From Arctic,105,80,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,41,Godsday,Eostara,12,90,70,85,15,Prevailing Direction,105,80,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,42,Moonday,Eostara,13,85,70,88,30,Prevailing Direction,95,75,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,43,Twiceday,Eostara,14,85,70,84,30,Prevailing Direction,95,75,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
