precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Heavy Rain (<1.5 inch),10,0,Moonday,Springmoon,1,80,65,71,10,Prevailing Direction,90,75,Normal,5,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),20,1,Twiceday,Springmoon,2,80,60,87,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,20,2,Thriceday,Springmoon,3,80,60,82,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),30,3,Fourday,Springmoon,4,70,55,73,30,From Arctic,75,60,Normal,15,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,30,4,Freeday,Springmoon,5,70,55,81,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,5,Godsday,Springmoon,6,70,55,87,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,6,Moonday,Springmoon,7,70,55,82,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,7,Twiceday,Springmoon,8,70,55,87,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),20,8,Thriceday,Springmoon,9,80,60,88,20,From Tropics,85,65,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Moderate Rain (<3/4 inch),30,9,Fourday,Springmoon,10,75,55,80,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
Moderate Rain (<3/4 inch),20,10,Freeday,Springmoon,11,80,60,75,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
No Precipitation,35,11,Godsday,Springmoon,12,70,55,89,35,From Arctic,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,12,Moonday,Springmoon,13,75,55,82,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,13,Twiceday,Springmoon,14,85,65,82,0,Indescernable,100,75,Normal,0,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),10,14,Thriceday,Springmoon,15,80,65,73,10,Prevailing Direction,90,75,Normal,5,-,-,-,150,100,25,15
No Precipitation,10,15,Fourday,Springmoon,16,80,65,80,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,16,Freeday,Springmoon,17,85,70,73,0,Indescernable,100,80,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,17,Godsday,Springmoon,18,85,70,75,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,18,Moonday,Springmoon,19,80,65,75,10,From Arctic,90,75,Normal,5,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),200,19,Twiceday,Springmoon,20,90,70,86,200,From Arctic,90,70,Tornado,100,,,,50,30,15,10
No Precipitation,45,20,Thriceday,Springmoon,21,90,70,83,45,Prevailing Direction,95,70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,21,Fourday,Springmoon,22,85,70,90,45,Prevailing Direction,90,70,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,22,Freeday,Springmoon,23,85,70,84,45,Prevailing Direction,90,70,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),45,23,Godsday,Springmoon,24,85,65,72,45,Prevailing Direction,90,65,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,24,Moonday,Springmoon,25,85,65,77,45,Prevailing Direction,90,65,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),35,25,Twiceday,Springmoon,26,90,70,72,35,From Tropics,100,75,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,20,26,Thriceday,Springmoon,27,90,75,84,20,Prevailing Direction,100,80,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,27,Fourday,Springmoon,28,85,65,71,35,From Arctic,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,28,Freeday,Springmoon,29,85,65,84,35,Prevailing Direction,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),45,29,Godsday,Springmoon,30,80,60,87,45,From Arctic,85,60,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),45,30,Moonday,Eostara,1,70,55,79,45,From Arctic,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),45,31,Twiceday,Eostara,2,70,50,80,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,32,Thriceday,Eostara,3,70,55,82,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,33,Fourday,Eostara,4,70,50,78,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,34,Freeday,Eostara,5,70,50,84,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),35,35,Godsday,Eostara,6,70,55,77,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,36,Moonday,Eostara,7,70,50,80,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),35,37,Twiceday,Eostara,8,70,55,86,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),45,38,Thriceday,Eostara,9,70,50,79,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Light Rain (<1/2 inch),35,39,Fourday,Eostara,10,75,55,83,35,From Tropics,80,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,20,40,Freeday,Eostara,11,80,65,75,20,From Tropics,85,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,20,41,Godsday,Eostara,12,80,65,75,20,Prevailing Direction,85,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),30,42,Moonday,Eostara,13,75,55,85,30,From Arctic,80,60,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,15,43,Twiceday,Eostara,14,80,60,85,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),5,44,Thriceday,Eostara,15,80,65,83,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),15,45,Fourday,Eostara,16,80,60,88,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Light Rain (<1/2 inch),25,46,Freeday,Eostara,17,75,55,90,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,10,47,Godsday,Eostara,18,80,65,85,10,From Tropics,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,48,Moonday,Eostara,19,85,65,77,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,49,Twiceday,Eostara,20,80,65,89,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),20,50,Thriceday,Eostara,21,80,60,77,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Light Rain (<1/2 inch),10,51,Fourday,Eostara,22,80,65,78,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),0,52,Freeday,Eostara,23,85,65,90,0,Indescernable,100,75,Normal,0,-,-,-,50,30,15,10
