precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Moderate Rain (<3/4 inch),0,0,Moonday,Springmoon,1,80,60,76,0,Indescernable,90,70,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,1,Twiceday,Springmoon,2,80,65,85,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,2,Thriceday,Springmoon,3,85,70,77,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,3,Fourday,Springmoon,4,85,70,82,0,Indescernable,100,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,4,Freeday,Springmoon,5,85,65,79,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,5,Godsday,Springmoon,6,80,65,89,10,Prevailing Direction,90,75,Normal,5,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),0,6,Moonday,Springmoon,7,85,65,73,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,7,Twiceday,Springmoon,8,80,65,76,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,8,Thriceday,Springmoon,9,75,55,82,25,From Arctic,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Rain (<1.5 inch),0,9,Fourday,Springmoon,10,90,70,86,0,Indescernable,105,80,Heatwave,0,-,-,-,50,30,15,10
No Precipitation,0,10,Freeday,Springmoon,11,90,70,77,0,Indescernable,105,80,Heatwave,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,11,Godsday,Springmoon,12,90,70,75,0,Indescernable,105,80,Heatwave,0,-,-,-,400,250,50,25
No Precipitation,0,12,Moonday,Springmoon,13,90,70,89,0,Indescernable,105,80,Heatwave,0,-,-,-,500,300,50,25
No Precipitation,0,13,Twiceday,Springmoon,14,90,70,75,0,Indescernable,105,80,Heatwave,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,14,Thriceday,Springmoon,15,85,70,86,0,Indescernable,100,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,15,Fourday,Springmoon,16,80,65,87,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,16,Freeday,Springmoon,17,80,65,89,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,17,Godsday,Springmoon,18,80,60,81,30,Prevailing Direction,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Heavy Rain (<1.5 inch),0,18,Moonday,Springmoon,19,50,30,73,0,Indescernable,50,25,Coldwave,0,-,-,-,50,30,15,10
No Precipitation,0,19,Twiceday,Springmoon,20,50,30,87,0,Indescernable,50,25,Coldwave,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,20,Thriceday,Springmoon,21,50,30,80,10,From Arctic,50,15,Coldwave,5,-,-,-,50,30,15,10
No Precipitation,0,21,Fourday,Springmoon,22,50,30,84,0,Indescernable,50,25,Coldwave,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,22,Freeday,Springmoon,23,50,30,83,0,Indescernable,50,25,Coldwave,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),10,23,Godsday,Springmoon,24,60,40,75,10,From Arctic,70,40,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,24,Moonday,Springmoon,25,65,45,88,10,Prevailing Direction,75,45,Normal,5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),20,25,Twiceday,Springmoon,26,60,40,87,20,Prevailing Direction,65,40,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Light Rain (<1/2 inch),30,26,Thriceday,Springmoon,27,60,40,85,30,Prevailing Direction,65,40,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,30,27,Fourday,Springmoon,28,65,45,89,30,Prevailing Direction,70,45,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,28,Freeday,Springmoon,29,60,40,78,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,29,Godsday,Springmoon,30,60,40,78,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,30,30,Moonday,Eostara,1,70,50,75,30,From Tropics,75,50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,31,Twiceday,Eostara,2,75,55,77,15,From Tropics,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,32,Thriceday,Eostara,3,75,55,81,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),25,33,Fourday,Eostara,4,70,50,89,25,From Arctic,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,40,34,Freeday,Eostara,5,65,45,77,40,Prevailing Direction,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,35,Godsday,Eostara,6,65,45,74,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,36,Moonday,Eostara,7,65,45,71,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,37,Twiceday,Eostara,8,65,45,79,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),45,38,Thriceday,Eostara,9,65,45,85,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,30,39,Fourday,Eostara,10,70,55,79,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),40,40,Freeday,Eostara,11,65,45,80,40,From Arctic,65,45,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,40,41,Godsday,Eostara,12,70,50,86,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,42,Moonday,Eostara,13,70,50,83,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,43,Twiceday,Eostara,14,70,50,74,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,44,Thriceday,Eostara,15,65,45,77,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),45,45,Fourday,Eostara,16,65,45,84,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Rain (<3/4 inch),0,46,Freeday,Eostara,17,65,45,73,0,Indescernable,75,45,Normal,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,47,Godsday,Eostara,18,75,55,72,0,Indescernable,85,65,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,48,Moonday,Eostara,19,80,60,90,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,49,Twiceday,Eostara,20,75,55,79,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
