precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Light Rain (<1/2 inch),0,0,Moonday,Springmoon,1,90,70,88,0,Indescernable,105,80,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,1,Twiceday,Springmoon,2,95,75,86,0,Indescernable,115,85,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,2,Thriceday,Springmoon,3,90,75,75,10,Prevailing Direction,105,85,Normal,5,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),200,3,Fourday,Springmoon,4,100,80,87,200,Prevailing Direction,105,80,Tornado,100,,,,50,30,15,10
No Precipitation,45,4,Freeday,Springmoon,5,90,75,81,45,Prevailing Direction,95,80,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),35,5,Godsday,Springmoon,6,100,80,85,35,From Tropics,115,85,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),25,6,Moonday,Springmoon,7,100,80,86,25,From Tropics,115,85,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,10,7,Twiceday,Springmoon,8,100,80,88,10,Prevailing Direction,120,90,Normal,5,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,8,Thriceday,Springmoon,9,100,80,88,0,Indescernable,120,90,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,9,Fourday,Springmoon,10,100,80,78,0,Indescernable,120,90,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,10,Freeday,Springmoon,11,90,75,84,15,Prevailing Direction,105,85,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,11,Godsday,Springmoon,12,85,65,86,0,Indescernable,100,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,12,Moonday,Springmoon,13,90,70,73,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,13,Twiceday,Springmoon,14,90,75,89,0,Indescernable,105,85,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,14,Thriceday,Springmoon,15,85,70,71,10,From Arctic,100,80,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,15,Fourday,Springmoon,16,90,75,81,0,Indescernable,105,85,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,16,Freeday,Springmoon,17,85,70,81,10,From Arctic,100,80,Normal,5,-,-,-,400,250,50,25
