precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Light Rain (<1/2 inch),0,0,Moonday,Springmoon,1,80,65,90,0,Indescernable,90,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,1,Twiceday,Springmoon,2,80,60,83,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,2,Thriceday,Springmoon,3,80,60,72,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,3,Fourday,Springmoon,4,70,55,90,25,From Arctic,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Light Rain (<1/2 inch),35,4,Freeday,Springmoon,5,70,50,88,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Rain (<3/4 inch),45,5,Godsday,Springmoon,6,65,45,74,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),35,6,Moonday,Springmoon,7,70,50,84,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,35,7,Twiceday,Springmoon,8,70,50,75,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,8,Thriceday,Springmoon,9,70,50,79,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,9,Fourday,Springmoon,10,65,45,85,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,10,Freeday,Springmoon,11,60,40,76,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,11,Godsday,Springmoon,12,70,50,73,30,Prevailing Direction,75,50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,12,Moonday,Springmoon,13,70,55,82,15,Prevailing Direction,80,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,13,Twiceday,Springmoon,14,70,55,89,15,Prevailing Direction,80,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,14,Thriceday,Springmoon,15,65,45,86,25,From Arctic,70,45,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,25,15,Fourday,Springmoon,16,65,45,75,25,Prevailing Direction,70,45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,16,Freeday,Springmoon,17,60,40,79,40,From Arctic,60,40,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,17,Godsday,Springmoon,18,60,40,88,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),35,18,Moonday,Springmoon,19,70,50,83,35,From Tropics,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),25,19,Twiceday,Springmoon,20,70,55,90,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,40,20,Thriceday,Springmoon,21,65,45,83,40,From Arctic,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,21,Fourday,Springmoon,22,70,50,74,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,22,Freeday,Springmoon,23,70,55,85,10,Prevailing Direction,80,65,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,23,Godsday,Springmoon,24,70,50,79,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,24,Moonday,Springmoon,25,60,40,77,40,From Arctic,60,40,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,25,Twiceday,Springmoon,26,70,50,87,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),35,26,Thriceday,Springmoon,27,65,45,73,35,Prevailing Direction,70,45,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,27,Fourday,Springmoon,28,60,40,89,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,28,Freeday,Springmoon,29,70,50,84,30,Prevailing Direction,75,50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,29,Godsday,Springmoon,30,75,55,89,15,From Tropics,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,30,Moonday,Eostara,1,75,55,82,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),25,31,Twiceday,Eostara,2,70,55,73,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,40,32,Thriceday,Eostara,3,65,45,89,40,From Arctic,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Downpour Rain (>1.5 inch),45,33,Fourday,Eostara,4,65,45,72,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,,,,
No Precipitation,45,34,Freeday,Eostara,5,70,50,76,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Downpour Rain (>1.5 inch),45,35,Godsday,Eostara,6,65,45,76,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,,,,
Light Rain (<1/2 inch),45,36,Moonday,Eostara,7,65,45,84,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,30,37,Twiceday,Eostara,8,70,55,73,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,38,Thriceday,Eostara,9,70,55,78,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),20,39,Fourday,Eostara,10,75,55,88,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Moderate Rain (<3/4 inch),30,40,Freeday,Eostara,11,70,55,78,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,30,41,Godsday,Eostara,12,70,55,85,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,42,Moonday,Eostara,13,80,60,83,15,From Tropics,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),25,43,Twiceday,Eostara,14,75,55,74,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
