precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Trace Rain (<1/8 inch),10,0,Moonday,Springmoon,1,65,45,37,10,From Arctic,65,45,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,1,Twiceday,Springmoon,2,65,45,24,25,Prevailing Direction,65,45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,2,Thriceday,Springmoon,3,65,45,31,40,Prevailing Direction,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,3,Fourday,Springmoon,4,70,50,26,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,4,Freeday,Springmoon,5,75,55,37,30,From Tropics,75,55,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,5,Godsday,Springmoon,6,70,50,28,40,From Arctic,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,6,Moonday,Springmoon,7,70,55,26,25,Prevailing Direction,70,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,35,7,Twiceday,Springmoon,8,70,50,24,35,Prevailing Direction,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,8,Thriceday,Springmoon,9,65,45,23,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,9,Fourday,Springmoon,10,65,45,37,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),0,10,Freeday,Springmoon,11,65,45,27,0,Indescernable,65,45,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,11,Godsday,Springmoon,12,65,45,26,15,From Arctic,65,45,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,12,Moonday,Springmoon,13,70,50,34,15,Prevailing Direction,70,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,25,13,Twiceday,Springmoon,14,65,45,21,25,Prevailing Direction,65,45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,14,Thriceday,Springmoon,15,70,50,25,15,Prevailing Direction,70,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,15,Fourday,Springmoon,16,65,45,38,30,Prevailing Direction,65,45,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,16,Freeday,Springmoon,17,70,55,23,20,From Tropics,70,55,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,10,17,Godsday,Springmoon,18,80,60,24,10,From Tropics,85,60,Normal,5,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),20,18,Moonday,Springmoon,19,75,55,33,20,Prevailing Direction,75,55,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),30,19,Twiceday,Springmoon,20,70,55,38,30,Prevailing Direction,70,55,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,45,20,Thriceday,Springmoon,21,70,50,39,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,21,Fourday,Springmoon,22,70,50,30,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,22,Freeday,Springmoon,23,70,55,23,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),0,23,Godsday,Springmoon,24,65,45,21,0,Indescernable,65,45,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,24,Moonday,Springmoon,25,65,45,34,15,Prevailing Direction,65,45,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,25,Twiceday,Springmoon,26,70,50,29,15,Prevailing Direction,70,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,26,Thriceday,Springmoon,27,70,50,33,15,Prevailing Direction,70,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,25,27,Fourday,Springmoon,28,65,45,35,25,Prevailing Direction,65,45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,28,Freeday,Springmoon,29,65,45,40,40,From Arctic,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,29,Godsday,Springmoon,30,70,50,28,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,30,Moonday,Eostara,1,75,55,35,25,From Tropics,75,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),35,31,Twiceday,Eostara,2,70,55,27,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
