precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,65,45,90,0,Indescernable,75,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,70,55,83,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,2,Thriceday,Springmoon,3,75,55,81,0,Indescernable,85,65,Normal,0,-,-,-,50,30,15,10
Heavy Rain (<1.5 inch),0,3,Fourday,Springmoon,4,75,55,87,0,Indescernable,85,65,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,4,Freeday,Springmoon,5,70,55,80,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,5,Godsday,Springmoon,6,70,55,90,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,6,Moonday,Springmoon,7,70,55,85,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,7,Twiceday,Springmoon,8,60,40,82,0,Indescernable,70,40,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,8,Thriceday,Springmoon,9,50,30,74,15,Prevailing Direction,50,10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,9,Fourday,Springmoon,10,50,30,89,15,Prevailing Direction,50,10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,10,Freeday,Springmoon,11,50,30,90,15,Prevailing Direction,50,10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,11,Godsday,Springmoon,12,40,20,75,30,Prevailing Direction,40,-20,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,12,Moonday,Springmoon,13,35,15,78,45,Prevailing Direction,0,-30,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
