precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,65,45,84,0,Indescernable,75,45,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,70,50,82,0,Indescernable,80,50,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,2,Thriceday,Springmoon,3,75,55,83,0,Indescernable,85,65,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,3,Fourday,Springmoon,4,70,50,71,15,From Arctic,80,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,4,Freeday,Springmoon,5,75,55,90,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,5,Godsday,Springmoon,6,80,65,81,0,Indescernable,90,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,6,Moonday,Springmoon,7,80,60,74,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,7,Twiceday,Springmoon,8,75,55,72,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),25,8,Thriceday,Springmoon,9,70,55,73,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Moderate Rain (<3/4 inch),15,9,Fourday,Springmoon,10,75,55,87,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
No Precipitation,0,10,Freeday,Springmoon,11,80,65,79,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,11,Godsday,Springmoon,12,75,55,88,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),25,12,Moonday,Springmoon,13,70,50,87,25,From Arctic,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Rain (<1/2 inch),15,13,Twiceday,Springmoon,14,70,55,72,15,Prevailing Direction,80,65,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
Light Rain (<1/2 inch),5,14,Thriceday,Springmoon,15,75,55,73,5,Prevailing Direction,85,65,Normal,2.5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,15,Fourday,Springmoon,16,80,60,80,0,Indescernable,90,70,Normal,0,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,16,Freeday,Springmoon,17,80,65,87,0,Indescernable,90,75,Normal,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),0,17,Godsday,Springmoon,18,80,65,77,0,Indescernable,90,75,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),10,18,Moonday,Springmoon,19,80,60,75,10,Prevailing Direction,90,70,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,19,Twiceday,Springmoon,20,80,65,86,0,Indescernable,90,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,20,Thriceday,Springmoon,21,80,65,85,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,21,Fourday,Springmoon,22,80,60,88,10,Prevailing Direction,90,70,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,22,Freeday,Springmoon,23,80,65,80,0,Indescernable,90,75,Normal,0,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),0,23,Godsday,Springmoon,24,80,65,82,0,Indescernable,90,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,24,Moonday,Springmoon,25,80,65,73,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,25,Twiceday,Springmoon,26,75,55,72,10,From Arctic,85,65,Normal,5,-,-,-,150,100,25,15
No Precipitation,0,26,Thriceday,Springmoon,27,80,60,79,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,27,Fourday,Springmoon,28,80,60,78,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,28,Freeday,Springmoon,29,80,60,76,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,29,Godsday,Springmoon,30,75,55,86,10,Prevailing Direction,85,65,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,30,Moonday,Eostara,1,70,50,74,25,From Arctic,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,31,Twiceday,Eostara,2,70,50,86,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),35,32,Thriceday,Eostara,3,60,40,80,35,From Arctic,65,40,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,35,33,Fourday,Eostara,4,60,40,85,35,Prevailing Direction,65,40,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,34,Freeday,Eostara,5,40,20,82,45,From Arctic,40,-25,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Snow (2 inch),45,35,Godsday,Eostara,6,40,20,86,45,Prevailing Direction,40,-25,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,36,Moonday,Eostara,7,40,20,73,45,Prevailing Direction,40,-25,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,37,Twiceday,Eostara,8,60,40,75,30,Prevailing Direction,65,40,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,15,38,Thriceday,Eostara,9,70,50,78,15,From Tropics,80,50,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,39,Fourday,Eostara,10,65,45,73,25,Prevailing Direction,70,45,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
Heavy Snow (4 inch),0,40,Freeday,Eostara,11,40,20,83,0,Indescernable,40,15,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,41,Godsday,Eostara,12,50,30,86,0,Indescernable,50,25,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,42,Moonday,Eostara,13,40,20,75,15,Prevailing Direction,40,-5,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,43,Twiceday,Eostara,14,40,20,71,30,Prevailing Direction,40,-20,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,30,44,Thriceday,Eostara,15,50,30,82,30,Prevailing Direction,50,0,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Heavy Snow (4 inch),40,45,Fourday,Eostara,16,40,20,89,40,Prevailing Direction,40,-25,Normal,20,-2/-4/X/X,-3,2/3,50,30,15,10
Moderate Snow (2 inch),45,46,Freeday,Eostara,17,40,20,81,45,Prevailing Direction,40,-25,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
