precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Light Snow (1 inch),10,0,Moonday,Springmoon,1,40,20,59,10,Prevailing Direction,40,0,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,1,Twiceday,Springmoon,2,40,20,69,10,Prevailing Direction,40,0,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,2,Thriceday,Springmoon,3,60,40,62,0,Indescernable,65,40,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,3,Fourday,Springmoon,4,50,30,64,10,Prevailing Direction,50,15,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,4,Freeday,Springmoon,5,50,30,43,10,Prevailing Direction,50,15,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,5,Godsday,Springmoon,6,60,40,59,0,Indescernable,65,40,Normal,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),0,6,Moonday,Springmoon,7,70,50,52,0,Indescernable,75,50,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,7,Twiceday,Springmoon,8,75,55,69,0,Indescernable,80,60,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,8,Thriceday,Springmoon,9,75,55,54,0,Indescernable,80,60,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,9,Fourday,Springmoon,10,80,60,46,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,10,Freeday,Springmoon,11,75,55,61,0,Indescernable,80,60,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,11,Godsday,Springmoon,12,70,55,67,15,Prevailing Direction,75,60,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,12,Moonday,Springmoon,13,80,60,49,0,Indescernable,85,65,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,13,Twiceday,Springmoon,14,75,55,59,0,Indescernable,80,60,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,14,Thriceday,Springmoon,15,70,55,67,10,Prevailing Direction,75,60,Normal,5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),20,15,Fourday,Springmoon,16,70,50,46,20,Prevailing Direction,70,50,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Moderate Rain (<3/4 inch),10,16,Freeday,Springmoon,17,75,55,47,10,From Tropics,80,60,Normal,5,-,-,-,150,100,25,15
No Precipitation,0,17,Godsday,Springmoon,18,80,60,44,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
