precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Heavy Rain (<1.5 inch),0,0,Moonday,Springmoon,1,65,45,79,0,Indescernable,75,45,Normal,0,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),0,1,Twiceday,Springmoon,2,70,55,78,0,Indescernable,80,65,Normal,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),10,2,Thriceday,Springmoon,3,70,50,79,10,Prevailing Direction,80,50,Normal,5,-,-,-,150,100,25,15
No Precipitation,0,3,Fourday,Springmoon,4,70,55,71,0,Indescernable,80,65,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,4,Freeday,Springmoon,5,85,70,84,0,Indescernable,100,80,Heatwave,0,-,-,-,50,30,15,10
Light Rain (<1/2 inch),0,5,Godsday,Springmoon,6,85,70,79,0,Indescernable,100,80,Heatwave,0,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,6,Moonday,Springmoon,7,85,70,80,0,Indescernable,100,80,Heatwave,0,-,-,-,150,100,25,15
No Precipitation,0,7,Twiceday,Springmoon,8,85,70,81,0,Indescernable,100,80,Heatwave,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,8,Thriceday,Springmoon,9,85,70,83,0,Indescernable,100,80,Heatwave,0,-,-,-,50,30,15,10
No Precipitation,0,9,Fourday,Springmoon,10,85,70,84,0,Indescernable,100,80,Heatwave,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,10,Freeday,Springmoon,11,80,65,76,10,Prevailing Direction,90,75,Normal,5,-,-,-,50,30,15,10
No Precipitation,25,11,Godsday,Springmoon,12,80,60,73,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,12,Moonday,Springmoon,13,80,60,76,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,13,Twiceday,Springmoon,14,80,65,87,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,14,Thriceday,Springmoon,15,80,65,89,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,15,Fourday,Springmoon,16,85,65,71,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),200,16,Freeday,Springmoon,17,85,65,80,200,Indescernable,85,65,Tornado,100,,,,50,30,15,10
Moderate Rain (<3/4 inch),45,17,Godsday,Springmoon,18,85,65,80,45,Prevailing Direction,90,65,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,30,18,Moonday,Springmoon,19,85,65,75,30,Prevailing Direction,95,70,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),20,19,Twiceday,Springmoon,20,85,65,76,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,5,20,Thriceday,Springmoon,21,85,65,73,5,Prevailing Direction,100,75,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,5,21,Fourday,Springmoon,22,80,65,72,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,22,Freeday,Springmoon,23,85,65,77,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),10,23,Godsday,Springmoon,24,80,60,86,10,From Arctic,90,70,Normal,5,-,-,-,50,30,15,10
No Precipitation,0,24,Moonday,Springmoon,25,85,65,88,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,25,Twiceday,Springmoon,26,85,65,82,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,26,Thriceday,Springmoon,27,80,60,78,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),5,27,Fourday,Springmoon,28,80,65,90,5,Prevailing Direction,90,75,Normal,2.5,-,-,-,150,100,25,15
No Precipitation,0,28,Freeday,Springmoon,29,85,65,74,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,29,Godsday,Springmoon,30,85,65,82,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,30,Moonday,Eostara,1,80,65,82,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),25,31,Twiceday,Eostara,2,80,60,71,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,10,32,Thriceday,Eostara,3,80,65,74,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,33,Fourday,Eostara,4,80,65,79,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,34,Freeday,Eostara,5,80,65,79,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,35,Godsday,Eostara,6,80,60,76,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,36,Moonday,Eostara,7,80,65,71,10,Prevailing Direction,90,75,Normal,5,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),20,37,Twiceday,Eostara,8,75,55,72,20,From Arctic,80,60,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,35,38,Thriceday,Eostara,9,70,55,84,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,39,Fourday,Eostara,10,70,55,83,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),25,40,Freeday,Eostara,11,75,55,79,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,10,41,Godsday,Eostara,12,80,60,84,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,42,Moonday,Eostara,13,85,65,86,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,43,Twiceday,Eostara,14,80,60,82,10,From Arctic,90,70,Normal,5,-,-,-,150,100,25,15
No Precipitation,10,44,Thriceday,Eostara,15,80,60,90,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,45,Fourday,Eostara,16,80,65,81,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,46,Freeday,Eostara,17,80,65,72,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
