precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Moderate Rain (<3/4 inch),10,0,Moonday,Springmoon,1,50,30,44,10,Prevailing Direction,50,15,Normal,5,-,-,-,150,100,25,15
Light Rain (<1/2 inch),0,1,Twiceday,Springmoon,2,60,40,58,0,Indescernable,65,40,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,2,Thriceday,Springmoon,3,50,30,57,15,Prevailing Direction,50,10,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,3,Fourday,Springmoon,4,60,40,61,15,Prevailing Direction,65,40,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,4,Freeday,Springmoon,5,50,30,68,30,From Arctic,50,0,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),40,5,Godsday,Springmoon,6,50,30,50,40,Prevailing Direction,50,-5,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,6,Moonday,Springmoon,7,50,30,48,45,From Arctic,50,-5,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,7,Twiceday,Springmoon,8,60,40,42,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),45,8,Thriceday,Springmoon,9,50,30,49,45,Prevailing Direction,50,-5,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,30,9,Fourday,Springmoon,10,65,45,41,30,Prevailing Direction,65,45,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),20,10,Freeday,Springmoon,11,70,50,50,20,Prevailing Direction,70,50,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Light Rain (<1/2 inch),30,11,Godsday,Springmoon,12,60,40,53,30,From Arctic,60,40,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,45,12,Moonday,Springmoon,13,50,30,46,45,Prevailing Direction,50,-5,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),45,13,Twiceday,Springmoon,14,50,30,67,45,From Arctic,50,-5,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
Moderate Rain (<3/4 inch),35,14,Thriceday,Springmoon,15,65,45,66,35,From Tropics,65,45,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,35,15,Fourday,Springmoon,16,65,45,41,35,Prevailing Direction,65,45,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),0,16,Freeday,Springmoon,17,75,55,57,0,Indescernable,80,60,Morning Mist/Fog: 3 hours,0,-,-,-,150,100,25,15
No Precipitation,0,17,Godsday,Springmoon,18,75,55,57,0,Indescernable,80,60,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,18,Moonday,Springmoon,19,80,60,44,0,Indescernable,85,65,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,19,Twiceday,Springmoon,20,85,65,60,0,Indescernable,95,70,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,20,Thriceday,Springmoon,21,85,65,42,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,21,Fourday,Springmoon,22,80,65,67,10,Prevailing Direction,85,70,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,22,Freeday,Springmoon,23,80,60,48,25,Prevailing Direction,85,60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),15,23,Godsday,Springmoon,24,80,65,43,15,Prevailing Direction,85,70,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Moderate Rain (<3/4 inch),25,24,Moonday,Springmoon,25,80,60,51,25,Prevailing Direction,85,60,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,25,25,Twiceday,Springmoon,26,80,60,65,25,Prevailing Direction,85,60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,26,Thriceday,Springmoon,27,75,55,51,40,Prevailing Direction,75,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,27,Fourday,Springmoon,28,80,60,45,25,Prevailing Direction,85,60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),15,28,Freeday,Springmoon,29,80,65,62,15,Prevailing Direction,85,70,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,15,29,Godsday,Springmoon,30,80,65,66,15,Prevailing Direction,85,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),5,30,Moonday,Eostara,1,85,70,50,5,From Tropics,95,75,Normal,2.5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,31,Twiceday,Eostara,2,85,70,43,0,Indescernable,95,75,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,32,Thriceday,Eostara,3,85,70,46,0,Indescernable,95,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,33,Fourday,Eostara,4,80,60,41,15,From Arctic,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,25,34,Freeday,Eostara,5,70,55,57,25,From Arctic,70,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,35,Godsday,Eostara,6,65,45,45,40,From Arctic,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,36,Moonday,Eostara,7,60,40,63,45,Prevailing Direction,60,40,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,37,Twiceday,Eostara,8,50,30,45,45,Prevailing Direction,50,-5,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,38,Thriceday,Eostara,9,70,50,47,30,From Tropics,70,50,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),40,39,Fourday,Eostara,10,60,40,58,40,From Arctic,60,40,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,25,40,Freeday,Eostara,11,65,45,59,25,Prevailing Direction,65,45,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,35,41,Godsday,Eostara,12,60,40,59,35,Prevailing Direction,60,40,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),25,42,Moonday,Eostara,13,70,50,48,25,From Tropics,70,50,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Rain (<1/2 inch),15,43,Twiceday,Eostara,14,75,55,62,15,From Tropics,80,60,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,0,44,Thriceday,Eostara,15,80,60,58,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,45,Fourday,Eostara,16,75,55,64,10,Prevailing Direction,80,60,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,46,Freeday,Eostara,17,75,55,60,10,Prevailing Direction,80,60,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,47,Godsday,Eostara,18,80,60,45,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,48,Moonday,Eostara,19,85,65,70,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,49,Twiceday,Eostara,20,85,70,64,0,Indescernable,95,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,50,Thriceday,Eostara,21,80,60,68,15,From Arctic,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,51,Fourday,Eostara,22,85,65,67,5,From Tropics,95,70,Normal,2.5,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,52,Freeday,Eostara,23,85,70,52,0,Indescernable,95,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,53,Godsday,Eostara,24,85,70,67,0,Indescernable,95,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,54,Moonday,Eostara,25,80,60,55,15,From Arctic,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,55,Twiceday,Eostara,26,80,60,52,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),5,56,Thriceday,Eostara,27,85,65,49,5,From Tropics,95,70,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,5,57,Fourday,Eostara,28,85,65,66,5,Prevailing Direction,95,70,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,58,Freeday,Eostara,29,85,70,67,0,Indescernable,95,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,59,Godsday,Eostara,30,85,65,47,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,60,Moonday,Pasturemoon,1,85,65,86,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,61,Twiceday,Pasturemoon,2,85,70,90,0,Indescernable,100,80,Normal,0,-,-,-,150,100,25,15
No Precipitation,15,62,Thriceday,Pasturemoon,3,85,65,82,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,63,Fourday,Pasturemoon,4,85,65,83,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),5,64,Freeday,Pasturemoon,5,85,70,73,5,Prevailing Direction,100,80,Normal,2.5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,65,Godsday,Pasturemoon,6,90,70,71,0,Indescernable,105,80,Normal,0,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),0,66,Moonday,Pasturemoon,7,95,75,86,0,Indescernable,115,85,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,67,Twiceday,Pasturemoon,8,90,75,88,0,Indescernable,105,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,68,Thriceday,Pasturemoon,9,90,75,85,0,Indescernable,105,85,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,69,Fourday,Pasturemoon,10,95,75,90,0,Indescernable,115,85,Normal,0,-,-,-,50,30,15,10
Moderate Rain (<3/4 inch),10,70,Freeday,Pasturemoon,11,90,75,86,10,Prevailing Direction,105,85,Normal,5,-,-,-,150,100,25,15
Light Rain (<1/2 inch),20,71,Godsday,Pasturemoon,12,90,70,79,20,Prevailing Direction,100,75,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,5,72,Moonday,Pasturemoon,13,90,75,72,5,Prevailing Direction,105,85,Normal,2.5,-,-,-,500,300,50,25
Severe Snowstorm,0,73,Twiceday,Pasturemoon,14,85,65,89,0,Indescernable,100,75,Extreme Precipitation,0,-,-,-,20,20,10,5
No Precipitation,0,74,Thriceday,Pasturemoon,15,90,70,84,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,75,Fourday,Pasturemoon,16,90,70,84,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,76,Freeday,Pasturemoon,17,85,70,85,15,Prevailing Direction,100,80,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),5,77,Godsday,Pasturemoon,18,90,75,84,5,From Tropics,105,85,Normal,2.5,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),0,78,Moonday,Pasturemoon,19,95,75,72,0,Indescernable,115,85,Normal,0,-,-,-,50,30,15,10
Light Rain (<1/2 inch),10,79,Twiceday,Pasturemoon,20,90,75,88,10,Prevailing Direction,105,85,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,80,Thriceday,Pasturemoon,21,95,75,90,0,Indescernable,115,85,Normal,0,-,-,-,400,250,50,25
Heavy Rain (<1.5 inch),0,81,Fourday,Pasturemoon,22,85,70,83,0,Indescernable,100,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,82,Freeday,Pasturemoon,23,85,70,84,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
