precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,90,75,23,0,Indescernable,95,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,95,75,37,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,2,Thriceday,Springmoon,3,90,70,33,10,From Arctic,95,70,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,3,Fourday,Springmoon,4,80,65,39,0,Indescernable,85,65,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,4,Freeday,Springmoon,5,80,65,38,0,Indescernable,85,65,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,5,Godsday,Springmoon,6,80,60,29,15,Prevailing Direction,85,60,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,6,Moonday,Springmoon,7,80,65,24,5,Prevailing Direction,85,65,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,7,Twiceday,Springmoon,8,85,65,25,0,Indescernable,90,65,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,8,Thriceday,Springmoon,9,90,70,32,0,Indescernable,95,70,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,9,Fourday,Springmoon,10,90,70,28,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,10,Freeday,Springmoon,11,85,70,35,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,11,Godsday,Springmoon,12,85,65,31,25,Prevailing Direction,90,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,12,Moonday,Springmoon,13,80,65,30,40,Prevailing Direction,80,65,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),30,13,Twiceday,Springmoon,14,85,70,22,30,From Tropics,90,70,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,45,14,Thriceday,Springmoon,15,85,65,34,45,Prevailing Direction,85,65,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),35,15,Fourday,Springmoon,16,85,70,40,35,Prevailing Direction,90,70,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,25,16,Freeday,Springmoon,17,90,75,40,25,From Tropics,95,75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,17,Godsday,Springmoon,18,90,75,32,25,Prevailing Direction,95,75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,18,Moonday,Springmoon,19,90,75,30,25,Prevailing Direction,95,75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),15,19,Twiceday,Springmoon,20,95,75,40,15,Prevailing Direction,105,80,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,5,20,Thriceday,Springmoon,21,100,80,26,5,From Tropics,110,85,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,21,Fourday,Springmoon,22,100,80,39,0,Indescernable,110,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,22,Freeday,Springmoon,23,90,75,32,10,From Arctic,95,80,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,23,Godsday,Springmoon,24,90,75,35,10,Prevailing Direction,95,80,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,24,Moonday,Springmoon,25,90,75,36,10,Prevailing Direction,95,80,Normal,5,-,-,-,500,300,50,25
