precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Heavy Rain (<1.5 inch),10,0,Moonday,Springmoon,1,85,70,83,10,Prevailing Direction,100,80,Normal,5,-,-,-,50,30,15,10
Downpour Rain (>1.5 inch),20,1,Twiceday,Springmoon,2,80,65,88,20,From Arctic,85,70,Normal,10,0/-1/-2/-3,-,-,,,,
Downpour Rain (>1.5 inch),0,2,Thriceday,Springmoon,3,90,70,78,0,Indescernable,105,80,Normal,0,-,-,-,,,,
Downpour Rain (>1.5 inch),0,3,Fourday,Springmoon,4,80,65,80,0,Indescernable,90,75,Extreme Precipitation,0,-,-,-,,,,
No Precipitation,15,4,Freeday,Springmoon,5,75,55,88,15,From Arctic,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),5,5,Godsday,Springmoon,6,80,65,86,5,From Tropics,90,75,Normal,2.5,-,-,-,50,30,15,10
Downpour Rain (>1.5 inch),0,6,Moonday,Springmoon,7,85,70,76,0,Indescernable,100,80,Normal,0,-,-,-,,,,
Heavy Rain (<1.5 inch),0,7,Twiceday,Springmoon,8,90,70,75,0,Indescernable,105,80,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,8,Thriceday,Springmoon,9,85,70,79,15,Prevailing Direction,100,80,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,9,Fourday,Springmoon,10,80,60,71,0,Indescernable,90,70,Extreme Precipitation,0,-,-,-,500,300,50,25
No Precipitation,0,10,Freeday,Springmoon,11,80,60,87,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,11,Godsday,Springmoon,12,80,65,89,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,12,Moonday,Springmoon,13,85,65,76,0,Indescernable,100,75,Normal,0,-,-,-,50,30,15,10
