precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
Trace Rain (<1/8 inch),0,0,Moonday,Springmoon,1,85,70,52,0,Indescernable,95,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,85,70,65,0,Indescernable,95,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,2,Thriceday,Springmoon,3,90,70,43,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,3,Fourday,Springmoon,4,85,70,61,0,Indescernable,95,75,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,4,Freeday,Springmoon,5,90,70,67,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,5,Godsday,Springmoon,6,90,70,69,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,6,Moonday,Springmoon,7,80,65,58,15,From Arctic,85,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,7,Twiceday,Springmoon,8,85,70,48,5,From Tropics,95,75,Normal,2.5,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,8,Thriceday,Springmoon,9,90,70,61,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,10,9,Fourday,Springmoon,10,85,70,54,10,Prevailing Direction,95,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,10,Freeday,Springmoon,11,90,70,50,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,11,Godsday,Springmoon,12,90,70,50,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,12,Moonday,Springmoon,13,90,70,46,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,13,Twiceday,Springmoon,14,90,70,60,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,14,Thriceday,Springmoon,15,80,65,47,15,From Arctic,85,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,15,Fourday,Springmoon,16,85,70,52,0,Indescernable,95,75,Normal,0,-,-,-,500,300,50,25
