precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,15,0,Moonday,Springmoon,1,75,55,90,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,1,Twiceday,Springmoon,2,75,55,72,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),25,2,Thriceday,Springmoon,3,70,55,77,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
Light Rain (<1/2 inch),35,3,Fourday,Springmoon,4,70,55,81,35,Prevailing Direction,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Rain (<1/8 inch),25,4,Freeday,Springmoon,5,80,60,85,25,From Tropics,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,10,5,Godsday,Springmoon,6,85,65,88,10,From Tropics,100,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,6,Moonday,Springmoon,7,80,65,87,25,Prevailing Direction,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),35,7,Twiceday,Springmoon,8,80,60,73,35,Prevailing Direction,85,65,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,8,Thriceday,Springmoon,9,75,55,71,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,9,Fourday,Springmoon,10,70,55,90,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,45,10,Freeday,Springmoon,11,75,55,77,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,11,Godsday,Springmoon,12,70,55,72,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,12,Moonday,Springmoon,13,70,55,84,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,13,Twiceday,Springmoon,14,80,65,90,30,From Tropics,85,70,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Light Rain (<1/2 inch),20,14,Thriceday,Springmoon,15,85,65,88,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,15,Fourday,Springmoon,16,85,70,84,10,From Tropics,100,80,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),20,16,Freeday,Springmoon,17,85,65,78,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,17,Godsday,Springmoon,18,85,70,71,10,Prevailing Direction,100,80,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,18,Moonday,Springmoon,19,85,70,84,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,19,Twiceday,Springmoon,20,80,60,77,0,Indescernable,90,70,Normal,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),10,20,Thriceday,Springmoon,21,70,55,84,10,From Arctic,80,65,Normal,5,-,-,-,150,100,25,15
Trace Rain (<1/8 inch),0,21,Fourday,Springmoon,22,75,55,89,0,Indescernable,85,65,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),10,22,Freeday,Springmoon,23,70,55,72,10,Prevailing Direction,80,65,Normal,5,-,-,-,400,250,50,25
