precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,85,70,88,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1,Twiceday,Springmoon,2,90,70,90,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,2,Thriceday,Springmoon,3,85,70,89,10,Prevailing Direction,100,80,Normal,5,-,-,-,500,300,50,25
No Precipitation,0,3,Fourday,Springmoon,4,90,70,89,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,4,Freeday,Springmoon,5,90,70,86,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,5,Godsday,Springmoon,6,90,70,74,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,6,Moonday,Springmoon,7,85,70,75,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,7,Twiceday,Springmoon,8,80,65,73,15,From Arctic,90,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,8,Thriceday,Springmoon,9,80,60,81,30,Prevailing Direction,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,0,9,Fourday,Springmoon,10,75,55,90,0,Indescernable,85,65,Extreme Precipitation,0,-,-,-,500,300,50,25
No Precipitation,0,10,Freeday,Springmoon,11,80,60,77,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,11,Godsday,Springmoon,12,80,60,82,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,12,Moonday,Springmoon,13,80,65,72,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,13,Twiceday,Springmoon,14,80,60,84,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,5,14,Thriceday,Springmoon,15,85,65,77,5,From Tropics,100,75,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,15,Fourday,Springmoon,16,85,70,71,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,16,Freeday,Springmoon,17,85,65,83,15,Prevailing Direction,100,75,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),5,17,Godsday,Springmoon,18,90,70,76,5,From Tropics,105,80,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,5,18,Moonday,Springmoon,19,85,70,90,5,Prevailing Direction,100,80,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,20,19,Twiceday,Springmoon,20,85,65,86,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,30,20,Thriceday,Springmoon,21,80,60,74,30,From Arctic,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),40,21,Fourday,Springmoon,22,75,55,71,40,Prevailing Direction,80,55,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,30,22,Freeday,Springmoon,23,80,65,72,30,From Tropics,85,70,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,20,23,Godsday,Springmoon,24,85,65,77,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,24,Moonday,Springmoon,25,80,65,79,35,Prevailing Direction,85,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,25,Twiceday,Springmoon,26,85,65,81,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),30,26,Thriceday,Springmoon,27,80,65,78,30,Prevailing Direction,85,70,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,45,27,Fourday,Springmoon,28,80,60,80,45,Prevailing Direction,85,60,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,28,Freeday,Springmoon,29,75,55,90,45,Prevailing Direction,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,29,Godsday,Springmoon,30,75,55,84,45,From Arctic,80,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,30,Moonday,Eostara,1,80,65,76,30,From Tropics,85,70,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),40,31,Twiceday,Eostara,2,80,65,89,40,From Arctic,85,65,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
