precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,0,0,Moonday,Springmoon,1,90,70,89,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,1,Twiceday,Springmoon,2,85,70,71,10,Prevailing Direction,100,80,Normal,5,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,2,Thriceday,Springmoon,3,90,70,87,0,Indescernable,105,80,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,3,Fourday,Springmoon,4,90,70,81,0,Indescernable,105,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,4,Freeday,Springmoon,5,90,75,83,0,Indescernable,105,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,5,Godsday,Springmoon,6,100,80,89,0,Indescernable,120,90,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,6,Moonday,Springmoon,7,100,80,85,0,Indescernable,120,90,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,7,Twiceday,Springmoon,8,100,80,83,0,Indescernable,120,90,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,8,Thriceday,Springmoon,9,95,75,74,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,9,Fourday,Springmoon,10,95,75,76,0,Indescernable,115,85,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,10,Freeday,Springmoon,11,90,75,90,15,Prevailing Direction,105,85,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Trace Rain (<1/8 inch),5,11,Godsday,Springmoon,12,95,75,88,5,Prevailing Direction,115,85,Normal,2.5,-,-,-,400,250,50,25
No Precipitation,0,12,Moonday,Springmoon,13,100,80,77,0,Indescernable,120,90,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,13,Twiceday,Springmoon,14,100,80,76,0,Indescernable,120,90,Normal,0,-,-,-,500,300,50,25
No Precipitation,10,14,Thriceday,Springmoon,15,95,75,72,10,Prevailing Direction,115,85,Normal,5,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,15,Fourday,Springmoon,16,100,80,80,0,Indescernable,120,90,Normal,0,-,-,-,400,250,50,25
No Precipitation,10,16,Freeday,Springmoon,17,95,75,80,10,Prevailing Direction,115,85,Normal,5,-,-,-,500,300,50,25
No Precipitation,25,17,Godsday,Springmoon,18,90,70,76,25,From Arctic,100,75,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,35,18,Moonday,Springmoon,19,85,65,89,35,From Arctic,95,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,19,Twiceday,Springmoon,20,80,65,76,45,Prevailing Direction,85,65,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,20,Thriceday,Springmoon,21,80,65,85,45,Prevailing Direction,85,65,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,21,Fourday,Springmoon,22,80,60,78,45,Prevailing Direction,85,60,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,22,Freeday,Springmoon,23,80,65,87,35,Prevailing Direction,85,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,23,Godsday,Springmoon,24,80,60,74,45,From Arctic,85,60,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,24,Moonday,Springmoon,25,80,65,73,35,Prevailing Direction,85,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,20,25,Twiceday,Springmoon,26,85,70,90,20,From Tropics,95,75,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,26,Thriceday,Springmoon,27,80,65,72,35,From Arctic,85,70,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
